RxnIndex,RxnID
Rxn4756,arm_ACOADAGAT1819Z18111Z160
Rxn4757,arm_ACOADAGAT1819Z18111Z180
Rxn4758,arm_ACOADAGAT1819Z18111Z18111Z
Rxn4759,arm_ACOADAGAT1819Z18111Z1819Z
Rxn4760,arm_ACOADAGAT1819Z18111Z1835Z9Z12Z
Rxn4761,arm_ACOADAGAT1819Z18111Z1845Z9Z12Z15Z
Rxn4762,arm_ACOADAGAT1819Z1819Z160
Rxn4763,arm_ACOADAGAT1819Z1819Z180
Rxn4764,arm_ACOADAGAT1819Z1819Z18111Z
Rxn4765,arm_ACOADAGAT1819Z1819Z1819Z
Rxn4766,arm_ACOADAGAT1819Z1819Z1835Z9Z12Z
Rxn4767,arm_ACOADAGAT1819Z1819Z1845Z9Z12Z15Z
Rxn4768,arm_ACOATA
Rxn4769,arm_ACP1619ZD9DS
Rxn4770,arm_ACP1819ZD9DS
Rxn4777,arm_ADEC
Rxn4778,arm_ADPART
Rxn4779,arm_AFAT
Rxn4780,arm_AGAT
Rxn4781,arm_AGPOP
Rxn4782,arm_AGPOPm
Rxn4783,arm_AGPT
Rxn4790,arm_ALATAH
Rxn4791,arm_AM6PT
Rxn4792,arm_AN2PT
Rxn4793,arm_APN
Rxn4800,arm_ARGTAH
Rxn4801,arm_ARPT
Rxn4802,arm_ARSO4SH
Rxn4803,arm_ASCBOR3
Rxn4804,arm_ASNTAH
Rxn4811,arm_ASPK
Rxn4812,arm_ASPS
Rxn4813,arm_ASPSE
Rxn4814,arm_ASPTAH
Rxn4815,arm_ASQDCADS1829Z12Z160
Rxn4816,arm_ASQDCADS1839Z12Z15Z160
Rxn4817,arm_ASQDPADS1829Z12Z160
Rxn4818,arm_ASQDPADS1839Z12Z15Z160
Rxn4819,arm_ATAM
Rxn4820,arm_ATAMh
Rxn4821,arm_ATAMm
Rxn4822,arm_ATCD
Rxn4823,arm_ATCY
Rxn4824,arm_ATDCD
Rxn4825,arm_ATDGD
Rxn4826,arm_ATDGM
Rxn4827,arm_ATDTD
Rxn4828,arm_ATDTM
Rxn4829,arm_ATDUD
Rxn4830,arm_ATGD
Rxn4831,arm_ATID
Rxn4832,arm_ATNS
Rxn4833,arm_ATNS_nh4
Rxn4834,arm_ATPSm
Rxn4835,arm_ATUD
Rxn4836,arm_AUPT
Rxn4843,arm_BPNT
Rxn4844,arm_BPNT2
Rxn4845,arm_BTNC
Rxn4846,arm_BTNCm
Rxn4847,arm_CALLOSES
Rxn4850,arm_CCP2m
Rxn4851,arm_CDPDAGS18111Z160
Rxn4852,arm_CDPDAGS18111Z160h
Rxn4853,arm_CDPDAGS1819Z160
Rxn4854,arm_CDPDAGS1819Z160h
Rxn4855,arm_CPPPGO
Rxn4856,arm_CYOO6m
Rxn4857,arm_CYOR_q8_m
Rxn4858,arm_CYSATm
Rxn4859,arm_CYSDO
Rxn4860,arm_CYSS
Rxn4861,arm_CYSS_trdrd
Rxn4862,arm_CYSTAH
Rxn4865,arm_CYSTL
Rxn4866,arm_DAGAH16018111Z
Rxn4867,arm_DAGAH1601819Z
Rxn4868,arm_DAGAH1801819Z
Rxn4869,arm_DAGAH18111Z18111Z
Rxn4870,arm_DAGAH18111Z1819Z
Rxn4871,arm_DAGAH1819Z18111Z
Rxn4872,arm_DAGAH1819Z1819Z
Rxn4873,arm_DAGK16018111Z
Rxn4874,arm_DAGK1601819Z
Rxn4875,arm_DAGK1601819Zh
Rxn4876,arm_DAGK160h
Rxn4877,arm_DAGK1801819Z
Rxn4878,arm_DAGK1801819Zh
Rxn4879,arm_DAGK181
Rxn4880,arm_DAGK18111Z160h
Rxn4881,arm_DAGK18111Z1819Z
Rxn4882,arm_DAGK18111Z1819Zh
Rxn4883,arm_DAGK1819Z160h
Rxn4884,arm_DAGK1819Z1619Zh
Rxn4885,arm_DAGK1819Z18111Z
Rxn4886,arm_DAGK1819Z18111Zh
Rxn4887,arm_DAGK1819Z1819Z
Rxn4888,arm_DAGK1819Z1819Zh
Rxn4889,arm_DAOTO
Rxn4890,arm_DAPOP
Rxn4891,arm_DATCY
Rxn4892,arm_DATUP
Rxn4893,arm_DCDT
Rxn4894,arm_DCTCP
Rxn4895,arm_DCTUP
Rxn4896,arm_DGDGD7DS1819Z1617Z
Rxn4897,arm_DGDGD7DS1829Z12Z1617Z
Rxn4898,arm_DGDGW3DS1819Z1637Z10Z13Z
Rxn4899,arm_DGDGW3DS1829Z12Z1637Z10Z13Z
Rxn4900,arm_DGDGW3DS1839Z12Z15Z160
Rxn4901,arm_DGDGW3DS1839Z12Z15Z1627Z10Z
Rxn4902,arm_DGDGW3DS1839Z12Z15Z1634Z7Z10Z
Rxn4903,arm_DGDGW3DS1839Z12Z15Z1637Z10Z13Z1
Rxn4904,arm_DGDGW3DS1839Z12Z15Z1637Z10Z13Z2
Rxn4905,arm_DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z
Rxn4906,arm_DGDGW6DS1819Z1627Z10Z
Rxn4907,arm_DGDGW6DS1829Z12Z160
Rxn4908,arm_DGDGW6DS1829Z12Z1617Z
Rxn4909,arm_DGDGW6DS1829Z12Z1619Z
Rxn4910,arm_DGDGW6DS1829Z12Z1627Z10Z1
Rxn4911,arm_DGDGW6DS1829Z12Z1627Z10Z2
Rxn4912,arm_DGDGW6DS1829Z12Z1634Z7Z10Z
Rxn4913,arm_DGDGW6DS1829Z12Z1637Z10Z13Z
Rxn4914,arm_DGOTO
Rxn4915,arm_DGTCY
Rxn4916,arm_DGTSD5DS1601835Z9Z12Z
Rxn4917,arm_DGTSD5DS18111Z1835Z9Z12Z
Rxn4918,arm_DGTSD5DS1819Z1835Z9Z12Z
Rxn4919,arm_DGTSD5DS1829Z12Z1835Z9Z12Z
Rxn4920,arm_DGTSDS1601829Z12Z
Rxn4921,arm_DGTSDS1601845Z9Z12Z15Z
Rxn4922,arm_DGTSDS18111Z1829Z12Z
Rxn4923,arm_DGTSDS18111Z1845Z9Z12Z15Z
Rxn4924,arm_DGTSDS1819Z1829Z12Z
Rxn4925,arm_DGTSDS1819Z1845Z9Z12Z15Z
Rxn4926,arm_DGTSDS1829Z12Z18111Z
Rxn4927,arm_DGTSDS1829Z12Z1819Z
Rxn4928,arm_DGTSDS1829Z12Z1829Z12Z1
Rxn4929,arm_DGTSDS1829Z12Z1829Z12Z2
Rxn4930,arm_DGTSDS1829Z12Z1835Z9Z12Z
Rxn4931,arm_DGTSDS1829Z12Z1845Z9Z12Z15Z1
Rxn4932,arm_DGTSDS1829Z12Z1845Z9Z12Z15Z2
Rxn4933,arm_DGTSDS1839Z12Z15Z18111Z
Rxn4934,arm_DGTSDS1839Z12Z15Z1819Z
Rxn4935,arm_DGTSDS1839Z12Z15Z1835Z9Z12Z
Rxn4936,arm_DGTSDS1839Z12Z15Z1845Z9Z12Z15Z1
Rxn4937,arm_DGTSDS1839Z12Z15Z1845Z9Z12Z15Z2
Rxn4938,arm_DGTUP
Rxn4939,arm_DHPR
Rxn4942,arm_DNNH
Rxn4943,arm_DOLASNT
Rxn4944,arm_DTMPK
Rxn4945,arm_DTTGY
Rxn4946,arm_DTTUP
Rxn4947,arm_DUDT
Rxn4948,arm_DUTCP
Rxn4949,arm_DUTNH
Rxn4950,arm_DUTUP
Rxn4951,arm_D_LACDHm
Rxn4952,arm_EAR100x
Rxn4953,arm_EAR100y
Rxn4954,arm_EAR120x
Rxn4955,arm_EAR120y
Rxn4956,arm_EAR140x
Rxn4957,arm_EAR140y
Rxn4958,arm_EAR160x
Rxn4959,arm_EAR160y
Rxn4960,arm_EAR180x
Rxn4961,arm_EAR181x
Rxn4962,arm_EAR181y
Rxn4963,arm_EAR40x
Rxn4964,arm_EAR60x
Rxn4965,arm_EAR60y
Rxn4966,arm_EAR80x
Rxn4967,arm_EAR80y
Rxn4968,arm_FA140ACPHi
Rxn4969,arm_FA160ACPHi
Rxn4970,arm_FA161ACPHi
Rxn4971,arm_FA180ACPHi
Rxn4972,arm_FA1819ZACPH
Rxn4973,arm_FA181ACPHi
Rxn4978,arm_FCLT
Rxn4979,arm_FGFTh
Rxn4996,arm_GAL
Rxn4997,arm_GALh
Rxn5002,arm_GGPS
Rxn5005,arm_GLNTAH
Rxn5006,arm_GLNTL
Rxn5007,arm_GLUKA
Rxn5008,arm_GLUKAh
Rxn5009,arm_GLUKB
Rxn5010,arm_GLUTAH
Rxn5011,arm_GLUTL
Rxn5012,arm_GLYS
Rxn5013,arm_GLYTA
Rxn5014,arm_GLYTAH
Rxn5015,arm_GLYTL
Rxn5018,arm_GPDDA2
Rxn5019,arm_GPPS
Rxn5020,arm_GPPSh
Rxn5021,arm_GTCY
Rxn5022,arm_GTHP
Rxn5023,arm_GTPDPK
Rxn5024,arm_GTPOP
Rxn5025,arm_GTPOPm
Rxn5026,arm_GTUP
Rxn5027,arm_GUAC
Rxn5054,arm_HATPase
Rxn5059,arm_HBCOm
Rxn5062,arm_HCO3Ehi
Rxn5069,arm_HISTAH
Rxn5078,arm_HPPD
Rxn5081,arm_HSDH
Rxn5088,arm_ICL
Rxn5089,arm_IDI
Rxn5090,arm_IDP
Rxn5091,arm_IDPm
Rxn5092,arm_ILETAH
Rxn5093,arm_ILETL
Rxn5094,arm_ITCY
Rxn5095,arm_ITUP
Rxn5096,arm_KAS14
Rxn5097,arm_LEUTAH
Rxn5098,arm_LEUTL
Rxn5099,arm_LLDH_ferr_m
Rxn5100,arm_LPLPS1AGPE180
Rxn5101,arm_LPLPS1AGPE18111Z
Rxn5102,arm_LPLPS1AGPE1819Z
Rxn5103,arm_LPLPS1AGPE1829Z12Z
Rxn5104,arm_LYSTAH
Rxn5105,arm_M5TRPI
Rxn5112,arm_METTAH
Rxn5113,arm_METTL
Rxn5114,arm_MGDGD7DS1819Z1617Z
Rxn5115,arm_MGDGD7DS1829Z12Z1617Z
Rxn5116,arm_MGDGW3DS1819Z1637Z10Z13Z
Rxn5117,arm_MGDGW3DS1829Z12Z1637Z10Z13Z
Rxn5118,arm_MGDGW3DS1829Z12Z1644Z7Z10Z13Z
Rxn5119,arm_MGDGW3DS1839Z12Z15Z160
Rxn5120,arm_MGDGW3DS1839Z12Z15Z1627Z10Z
Rxn5121,arm_MGDGW3DS1839Z12Z15Z1634Z7Z10Z
Rxn5122,arm_MGDGW3DS1839Z12Z15Z1637Z10Z13Z1
Rxn5123,arm_MGDGW3DS1839Z12Z15Z1637Z10Z13Z2
Rxn5124,arm_MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z1
Rxn5125,arm_MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z2
Rxn5126,arm_MGDGW6DS1819Z1627Z10Z
Rxn5127,arm_MGDGW6DS1829Z12Z160
Rxn5128,arm_MGDGW6DS1829Z12Z1617Z
Rxn5129,arm_MGDGW6DS1829Z12Z1619Z
Rxn5130,arm_MGDGW6DS1829Z12Z1627Z10Z1
Rxn5131,arm_MGDGW6DS1829Z12Z1627Z10Z2
Rxn5132,arm_MGDGW6DS1829Z12Z1637Z10Z13Z
Rxn5133,arm_MGDGW6DS1829Z12Z1644Z7Z10Z13Z
Rxn5134,arm_MI3PP
Rxn5135,arm_MI4PP
Rxn5136,arm_MM1
Rxn5143,arm_MTHFCx
Rxn5144,arm_NA1ATPasem
Rxn5145,arm_NADHOR
Rxn5146,arm_NDPK
Rxn5147,arm_NITR_NO
Rxn5148,arm_NO2R
Rxn5149,arm_OGMEACPR
Rxn5150,arm_OGMEACPS
Rxn5151,arm_OIVD3m
Rxn5152,arm_OPMEACPR
Rxn5153,arm_OPMEACPS
Rxn5154,arm_PAIL45PT18111Z160
Rxn5155,arm_PAIL45PT1819Z160
Rxn5156,arm_PCPPTh
Rxn5157,arm_PCPPTm
Rxn5158,arm_PDHam1hi
Rxn5159,arm_PDHam1mi
Rxn5160,arm_PDHam2hi
Rxn5161,arm_PDHam2mi
Rxn5164,arm_PDX5POi
Rxn5165,arm_PDXPP
Rxn5166,arm_PED5DS1801835Z9Z12Z
Rxn5167,arm_PED5DS18111Z1835Z9Z12Z
Rxn5168,arm_PED5DS1819Z1835Z9Z12Z
Rxn5169,arm_PEDS1801829Z12Z
Rxn5170,arm_PEDS1801845Z9Z12Z15Z
Rxn5171,arm_PEDS18111Z1829Z12Z
Rxn5172,arm_PEDS18111Z1845Z9Z12Z15Z
Rxn5173,arm_PEDS1819Z1829Z12Z
Rxn5174,arm_PEDS1819Z1845Z9Z12Z15Z
Rxn5175,arm_PEDS1829Z12Z1835Z9Z12Z
Rxn5186,arm_PGLYDH
Rxn5193,arm_PGW3DS1839Z12Z15Z160
Rxn5194,arm_PGW6DS1829Z12Z160
Rxn5195,arm_PHETAH
Rxn5196,arm_PHETL
Rxn5205,arm_PPC
Rxn5208,arm_PPRGL
Rxn5209,arm_PRICI
Rxn5212,arm_PROTAH
Rxn5213,arm_PROTL
Rxn5220,arm_PYAMPP
Rxn5221,arm_PYDAMK
Rxn5222,arm_PYDXK
Rxn5223,arm_PYDXNK
Rxn5224,arm_PYDXNO
Rxn5225,arm_PYDXPP
Rxn5226,arm_PYK
Rxn5227,arm_PYKm
Rxn5228,arm_SAT
Rxn5229,arm_SATm
Rxn5230,arm_SELCYSLY2
Rxn5231,arm_SERTAH
Rxn5232,arm_SERTL
Rxn5235,arm_SKK
Rxn5236,arm_SQDGW3DS1839Z12Z15Z160
Rxn5237,arm_SQDGW6DS1829Z12Z160
Rxn5238,arm_SUAT
Rxn5239,arm_SULR_ferr
Rxn5240,arm_TAGAH16018111Z160
Rxn5241,arm_TAGAH16018111Z180
Rxn5242,arm_TAGAH16018111Z18111Z
Rxn5243,arm_TAGAH16018111Z1819Z
Rxn5244,arm_TAGAH16018111Z1835Z9Z12Z
Rxn5245,arm_TAGAH16018111Z1845Z9Z12Z15Z
Rxn5246,arm_TAGAH1601819Z160
Rxn5247,arm_TAGAH1601819Z180
Rxn5248,arm_TAGAH1601819Z18111Z
Rxn5249,arm_TAGAH1601819Z1819Z
Rxn5250,arm_TAGAH1601819Z1835Z9Z12Z
Rxn5251,arm_TAGAH1601819Z1845Z9Z12Z15Z
Rxn5252,arm_TAGAH1801819Z160
Rxn5253,arm_TAGAH1801819Z180
Rxn5254,arm_TAGAH1801819Z18111Z
Rxn5255,arm_TAGAH1801819Z1819Z
Rxn5256,arm_TAGAH1801819Z1835Z9Z12Z
Rxn5257,arm_TAGAH1801819Z1845Z9Z12Z15Z
Rxn5258,arm_TAGAH18111Z18111Z160
Rxn5259,arm_TAGAH18111Z18111Z180
Rxn5260,arm_TAGAH18111Z18111Z18111Z
Rxn5261,arm_TAGAH18111Z18111Z1819Z
Rxn5262,arm_TAGAH18111Z18111Z1835Z9Z12Z
Rxn5263,arm_TAGAH18111Z18111Z1845Z9Z12Z15Z
Rxn5264,arm_TAGAH18111Z1819Z160
Rxn5265,arm_TAGAH18111Z1819Z180
Rxn5266,arm_TAGAH18111Z1819Z18111Z
Rxn5267,arm_TAGAH18111Z1819Z1819Z
Rxn5268,arm_TAGAH18111Z1819Z1835Z9Z12Z
Rxn5269,arm_TAGAH18111Z1819Z1845Z9Z12Z15Z
Rxn5270,arm_TAGAH1819Z18111Z160
Rxn5271,arm_TAGAH1819Z18111Z180
Rxn5272,arm_TAGAH1819Z18111Z18111Z
Rxn5273,arm_TAGAH1819Z18111Z1819Z
Rxn5274,arm_TAGAH1819Z18111Z1835Z9Z12Z
Rxn5275,arm_TAGAH1819Z18111Z1845Z9Z12Z15Z
Rxn5276,arm_TAGAH1819Z1819Z160
Rxn5277,arm_TAGAH1819Z1819Z180
Rxn5278,arm_TAGAH1819Z1819Z18111Z
Rxn5279,arm_TAGAH1819Z1819Z1819Z
Rxn5280,arm_TAGAH1819Z1819Z1835Z9Z12Z
Rxn5281,arm_TAGAH1819Z1819Z1845Z9Z12Z15Z
Rxn5288,arm_TDSR
Rxn5289,arm_TDSRh
Rxn5290,arm_THP
Rxn5291,arm_THRTAH
Rxn5292,arm_THRTL
Rxn5293,arm_TRPTAH
Rxn5294,arm_TRPTL
Rxn5296,arm_TYRTAAH
Rxn5302,arm_TYRTL
Rxn5305,arm_UG6PGT
Rxn5306,arm_UGDH
Rxn5307,arm_UMPK
Rxn5308,arm_UPPDC1
Rxn5309,arm_UTCY
Rxn5310,arm_UTUP
Rxn5311,arm_VALTAH
Rxn5312,arm_VALTL